fre_len,eng_len,f_ind,e_ind,prob
21,18,1,1,9.545892775599139e-7
21,18,1,2,3.6858712542882593e-8
21,18,1,3,3.898763292976123e-8
21,18,1,4,3.596812932324955e-8
21,18,1,5,9.545892659621552e-7
21,18,1,6,9.545892770076422e-7
21,18,1,7,9.545892770076422e-7
21,18,1,8,3.728584877496937e-8
21,18,1,9,3.627104150052436e-8
21,18,1,10,9.545892659621613e-7
21,18,1,11,3.6086649993136034e-8
21,18,1,12,3.798829461592685e-8
21,18,1,13,9.54589265962155e-7
21,18,1,14,4.676150640396921e-7
21,18,1,15,3.680782456775428e-8
21,18,1,16,3.60190830132927e-8
21,18,1,17,9.545892659621552e-7
21,18,1,18,9.284031381998896e-7
21,18,2,1,5.91672093597723e-8
21,18,2,2,7.659033894757029e-6
21,18,2,3,7.510869885609792e-8
21,18,2,4,6.906873196951579e-8
21,18,2,5,5.916721790294159e-8
21,18,2,6,5.9167209766485554e-8
21,18,2,7,5.9167209766485554e-8
21,18,2,8,7.174203091269575e-8
21,18,2,9,6.968203630668003e-8
21,18,2,10,5.9167217902941604e-8
21,18,2,11,6.933000268619564e-8
21,18,2,12,7.31670752022773e-8
21,18,2,13,5.916721790294161e-8
21,18,2,14,6.953406005205012e-8
21,18,2,15,7.0771842502591e-8
21,18,2,16,6.916999084862242e-8
21,18,2,17,5.9167217902941664e-8
21,18,2,18,5.970887126879487e-8
21,18,3,1,5.3255884015821126e-8
21,18,3,2,5.794991968471525e-8
21,18,3,3,4.914799337425646e-6
21,18,3,4,5.651665313448724e-8
21,18,3,5,5.325589020683965e-8
21,18,3,6,5.325588431063511e-8
21,18,3,7,5.325588431063513e-8
21,18,3,8,5.863669839107098e-8
21,18,3,9,5.700359889708748e-8
21,18,3,10,5.325589020683958e-8
21,18,3,11,5.6706722997771285e-8
21,18,3,12,5.976648374641693e-8
21,18,3,13,5.325589020683956e-8
21,18,3,14,2.6220670540140468e-6
21,18,3,15,5.7867542282996294e-8
21,18,3,16,5.659775950297267e-8
21,18,3,17,5.325589020683983e-8
21,18,3,18,5.359888790394111e-8
21,18,4,1,5.749644737658285e-8
21,18,4,2,6.903574922080374e-8
21,18,4,3,7.320742018525173e-8
21,18,4,4,7.5804466138907965e-6
21,18,4,5,5.749645429608931e-8
21,18,4,6,5.749644770608677e-8
21,18,4,7,5.7496447706086785e-8
21,18,4,8,6.988926170699249e-8
21,18,4,9,6.785927242385623e-8
21,18,4,10,5.749645429608933e-8
21,18,4,11,6.749075366741414e-8
21,18,4,12,7.129360695718559e-8
21,18,4,13,5.749645429608929e-8
21,18,4,14,6.771331065406192e-8
21,18,4,15,6.893366831424303e-8
21,18,4,16,6.735430654869436e-8
21,18,4,17,5.749645429608924e-8
21,18,4,18,5.8029756296314815e-8
21,18,5,1,3.397264303385201e-7
21,18,5,2,5.560697343589816e-7
21,18,5,3,5.873225942521764e-7
21,18,5,4,5.427008397394962e-7
21,18,5,5,3.3972646991097455e-7
21,18,5,6,3.39726432222947e-7
21,18,5,7,3.397264322229469e-7
21,18,5,8,5.624918482952711e-7
21,18,5,9,5.472452102667869e-7
21,18,5,10,3.397264699109744e-7
21,18,5,11,5.444788357390475e-7
21,18,5,12,5.72995292028169e-7
21,18,5,13,3.3972646991097434e-7
21,18,5,14,4.850290680453402e-7
21,18,5,15,5.553036924502489e-7
21,18,5,16,5.434576964951627e-7
