fre_len,eng_len,f_ind,e_ind,prob
14,13,1,1,0.7860892082378099
14,13,1,2,0.018890021061248242
14,13,1,3,0.01614234398527737
14,13,1,4,0.01881874070327894
14,13,1,5,0.018890021059050348
14,13,1,6,0.018890021059050337
14,13,1,7,0.017872008842040186
14,13,1,8,0.018890021059050403
14,13,1,9,0.01134431925224054
14,13,1,10,0.01889002105905049
14,13,1,11,0.017521917598385634
14,13,1,12,0.018871335024467212
14,13,1,13,0.01889002105905058
14,13,2,1,0.006443788905444907
14,13,2,2,0.13679087223332836
14,13,2,3,0.007449623377571389
14,13,2,4,0.008344745729947933
14,13,2,5,0.13682173313646534
14,13,2,6,0.13682650620435013
14,13,2,7,0.007877877922738795
14,13,2,8,0.1368402802420659
14,13,2,9,0.00485594775317205
14,13,2,10,0.13683053207228896
14,13,2,11,0.007914531706644684
14,13,2,12,0.13682848221099503
14,13,2,13,0.1361750785049866
14,13,3,1,0.008446599398515019
14,13,3,2,0.011082580770797653
14,13,3,3,0.4485597840059301
14,13,3,4,0.4382530815466563
14,13,3,5,0.011082580769701247
14,13,3,6,0.011082580769701247
14,13,3,7,0.010351963624583314
14,13,3,8,0.011082580769701228
14,13,3,9,0.0063503657856847345
14,13,3,10,0.011082580769701256
14,13,3,11,0.010460140249625391
14,13,3,12,0.011082580769701247
14,13,3,13,0.011082580769701256
14,13,4,1,0.0634655998317274
14,13,4,2,0.08261783346378544
14,13,4,3,0.07306456320424412
14,13,4,4,0.08176448024452707
14,13,4,5,0.08261738707327095
14,13,4,6,0.0827148611852396
14,13,4,7,0.07737904498911019
14,13,4,8,0.08271486118523967
14,13,4,9,0.0479885615075387
14,13,4,10,0.08271486118523985
14,13,4,11,0.07762641950635611
14,13,4,12,0.08271486118523982
14,13,4,13,0.08261666543848106
14,13,5,1,0.016059980394076526
14,13,5,2,0.02238313447218014
14,13,5,3,0.01940990545338388
14,13,5,4,0.022163147168936515
14,13,5,5,0.022363774734084102
14,13,5,6,0.022383134467277133
14,13,5,7,0.7495384867510276
14,13,5,8,0.022383134467277032
14,13,5,9,0.015363304886694861
14,13,5,10,0.022383134467277153
14,13,5,11,0.02080259380323115
14,13,5,12,0.022383134467277032
14,13,5,13,0.022383134467276973
14,13,6,1,0.06345214840407216
14,13,6,2,0.08269732990809586
14,13,6,3,0.07304907729236887
14,13,6,4,0.08160463145443168
14,13,6,5,0.08269732990885996
14,13,6,6,0.08269732990885996
14,13,6,7,0.07736264463004223
14,13,6,8,0.08269732990886004
14,13,6,9,0.04804022214115533
14,13,6,10,0.08269732990886025
14,13,6,11,0.07760996671667329
14,13,6,12,0.08269732990886018
14,13,6,13,0.08269732990886025
14,13,7,1,0.06328894922777188
14,13,7,2,0.08263606476140078
14,13,7,3,0.07306606148481534
14,13,7,4,0.08176615692781639
14,13,7,5,0.0827165573572829
14,13,7,6,0.08271655735728298
14,13,7,7,0.07726402044273807
14,13,7,8,0.08271655735728305
14,13,7,9,0.048051391678242725
14,13,7,10,0.08271655735728319
14,13,7,11,0.07762801133351636
14,13,7,12,0.08271655735728319
14,13,7,13,0.08271655735728319
14,13,8,1,0.06335350061474983
14,13,8,2,0.0826934566671842
14,13,8,3,0.073045655940373
14,13,8,4,0.08174332166182342
14,13,8,5,0.08269345666794826
14,13,8,6,0.08269345666794826
14,13,8,7,0.07735902124630605
14,13,8,8,0.08269345666794833
14,13,8,9,0.048037972112599275
14,13,8,10,0.08269345666794856
14,13,8,11,0.07760633174927382
14,13,8,12,0.08269345666794849
14,13,8,13,0.08269345666794856
14,13,9,1,0.2801370484630531
14,13,9,2,0.01067205648501997
14,13,9,3,0.00965382215426658
14,13,9,4,0.010588198835753081
14,13,9,5,0.010672056481655366
14,13,9,6,0.010672056481655375
14,13,9,7,0.009836986715615849
14,13,9,8,0.010672056481655413
14,13,9,9,0.6050273214332731
14,13,9,10,0.010672056481655423
14,13,9,11,0.01005222702308596
14,13,9,12,0.010672056481655423
14,13,9,13,0.010672056481655423
14,13,10,1,0.06334703306133864
14,13,10,2,0.08269813564360606
14,13,10,3,0.07304978902315411
14,13,10,4,0.08174794687753106
14,13,10,5,0.08269813564437012
14,13,10,6,0.08267054295065403
14,13,10,7,0.0773633983887187
14,13,10,8,0.08269813564437023
14,13,10,9,0.04802175294809084
14,13,10,10,0.08269813564437042
14,13,10,11,0.07761072288505497
14,13,10,12,0.08269813564437038
14,13,10,13,0.08269813564437042
14,13,11,1,0.011570699484934392
14,13,11,2,0.01510456697485153
14,13,11,3,0.013412973916332935
14,13,11,4,0.015065230070212397
14,13,11,5,0.015115599005844619
14,13,11,6,0.015115599005844577
14,13,11,7,0.014140947467362781
14,13,11,8,0.015115599005844537
14,13,11,9,0.008658607098257071
14,13,11,10,0.015115599005844565
14,13,11,11,0.8313533809529814
14,13,11,12,0.015115599005844551
14,13,11,13,0.015115599005844551
