fre_len,eng_len,f_ind,e_ind,prob
14,13,1,1,0.7258585488984352
14,13,1,2,3.3146363096202436e-19
14,13,1,3,1.2162203439711939e-29
14,13,1,4,1.2276780038167678e-10
14,13,1,5,3.314651286094588e-19
14,13,1,6,3.314651286094588e-19
14,13,1,7,1.3630526276178186e-36
14,13,1,8,3.314651286094588e-19
14,13,1,9,4.2682353878593385e-14
14,13,1,10,3.314651286094588e-19
14,13,1,11,3.294903848306853e-25
14,13,1,12,3.314651286094588e-19
14,13,1,13,3.314651286094588e-19
14,13,2,1,1.0117350997959364e-22
14,13,2,2,0.08028495178016579
14,13,2,3,2.223806455111863e-29
14,13,2,4,5.726898553475032e-11
14,13,2,5,0.08028493774730802
14,13,2,6,0.08028493774730802
14,13,2,7,1.2521475128415449e-29
14,13,2,8,0.08028493774730802
14,13,2,9,4.0623501289241186e-14
14,13,2,10,0.08028493774730802
14,13,2,11,8.432434856989437e-27
14,13,2,12,0.08028493774730802
14,13,2,13,0.08028493774730802
14,13,3,1,2.0864848908682098e-23
14,13,3,2,2.6281536273200552e-19
14,13,3,3,0.8153978642099642
14,13,3,4,0.7141704139557126
14,13,3,5,2.628165531469757e-19
14,13,3,6,2.628165531469757e-19
14,13,3,7,1.3446482360560576e-36
14,13,3,8,2.628165531469757e-19
14,13,3,9,4.062479116996451e-14
14,13,3,10,2.628165531469757e-19
14,13,3,11,5.499165760720405e-27
14,13,3,12,2.628165531469757e-19
14,13,3,13,2.628165531469757e-19
14,13,4,1,1.0117350997959364e-22
14,13,4,2,0.08028495178016579
14,13,4,3,2.223806455111863e-29
14,13,4,4,5.726898553475032e-11
14,13,4,5,0.08028493774730802
14,13,4,6,0.08028493774730802
14,13,4,7,1.2521475128415449e-29
14,13,4,8,0.08028493774730802
14,13,4,9,4.0623501289241186e-14
14,13,4,10,0.08028493774730802
14,13,4,11,8.432434856989437e-27
14,13,4,12,0.08028493774730802
14,13,4,13,0.08028493774730802
14,13,5,1,3.06445111012862e-22
14,13,5,2,2.051906062666201e-18
14,13,5,3,3.341591587360107e-30
14,13,5,4,1.092564455929009e-12
14,13,5,5,2.0519153161048927e-18
14,13,5,6,2.0519153161048927e-18
14,13,5,7,0.5286077089901092
14,13,5,8,2.0519153161048927e-18
14,13,5,9,6.35020423404463e-13
14,13,5,10,2.0519153161048927e-18
14,13,5,11,3.716622786730152e-30
14,13,5,12,2.0519153161048927e-18
14,13,5,13,2.0519153161048927e-18
14,13,6,1,1.0117350997959364e-22
14,13,6,2,0.08028495178016579
14,13,6,3,2.223806455111863e-29
14,13,6,4,5.726898553475032e-11
14,13,6,5,0.08028493774730802
14,13,6,6,0.08028493774730802
14,13,6,7,1.2521475128415449e-29
14,13,6,8,0.08028493774730802
14,13,6,9,4.0623501289241186e-14
14,13,6,10,0.08028493774730802
14,13,6,11,8.432434856989437e-27
14,13,6,12,0.08028493774730802
14,13,6,13,0.08028493774730802
14,13,7,1,1.0117350997959364e-22
14,13,7,2,0.08028495178016579
14,13,7,3,2.223806455111863e-29
14,13,7,4,5.726898553475032e-11
14,13,7,5,0.08028493774730802
14,13,7,6,0.08028493774730802
14,13,7,7,1.2521475128415449e-29
14,13,7,8,0.08028493774730802
14,13,7,9,4.0623501289241186e-14
14,13,7,10,0.08028493774730802
14,13,7,11,8.432434856989437e-27
14,13,7,12,0.08028493774730802
14,13,7,13,0.08028493774730802
14,13,8,1,1.0117350997959364e-22
14,13,8,2,0.08028495178016579
14,13,8,3,2.223806455111863e-29
14,13,8,4,5.726898553475032e-11
14,13,8,5,0.08028493774730802
14,13,8,6,0.08028493774730802
14,13,8,7,1.2521475128415449e-29
14,13,8,8,0.08028493774730802
14,13,8,9,4.0623501289241186e-14
14,13,8,10,0.08028493774730802
14,13,8,11,8.432434856989437e-27
14,13,8,12,0.08028493774730802
14,13,8,13,0.08028493774730802
14,13,9,1,8.054803600227718e-22
14,13,9,2,4.161906799502579e-26
14,13,9,3,1.0993820956424728e-28
14,13,9,4,8.314715925479486e-12
14,13,9,5,4.161925661176367e-26
14,13,9,6,4.161925661176367e-26
14,13,9,7,8.406474872628395e-36
14,13,9,8,4.161925661176367e-26
14,13,9,9,0.6784096639685291
14,13,9,10,4.161925661176367e-26
14,13,9,11,1.8540240251870136e-34
14,13,9,12,4.161925661176367e-26
14,13,9,13,4.161925661176367e-26
14,13,10,1,1.0117350997959364e-22
14,13,10,2,0.08028495178016579
14,13,10,3,2.223806455111863e-29
14,13,10,4,5.726898553475032e-11
14,13,10,5,0.08028493774730802
14,13,10,6,0.08028493774730802
14,13,10,7,1.2521475128415449e-29
14,13,10,8,0.08028493774730802
14,13,10,9,4.0623501289241186e-14
14,13,10,10,0.08028493774730802
14,13,10,11,8.432434856989437e-27
14,13,10,12,0.08028493774730802
14,13,10,13,0.08028493774730802
14,13,11,1,2.0871301701140395e-23
14,13,11,2,3.009986895238148e-19
14,13,11,3,1.1438755214371916e-29
14,13,11,4,4.67192927813299e-11
14,13,11,5,3.0100005094612897e-19
14,13,11,6,3.0100005094612897e-19
14,13,11,7,1.2574310823940218e-36
14,13,11,8,3.0100005094612897e-19
14,13,11,9,4.067141385024612e-14
14,13,11,10,3.0100005094612897e-19
14,13,11,11,0.9059305875706504
14,13,11,12,3.0100005094612897e-19
14,13,11,13,3.0100005094612897e-19
14,13,12,1,1.0117350997959364e-22
14,13,12,2,0.08028495178016579
14,13,12,3,2.223806455111863e-29
14,13,12,4,5.726898553475032e-11
14,13,12,5,0.08028493774730802
14,13,12,6,0.08028493774730802
14,13,12,7,1.2521475128415449e-29
14,13,12,8,0.08028493774730802
14,13,12,9,4.0623501289241186e-14
14,13,12,10,0.08028493774730802
14,13,12,11,8.432434856989437e-27
14,13,12,12,0.08028493774730802
14,13,12,13,0.08028493774730802
14,13,13,1,1.0117350997959364e-22
14,13,13,2,0.08028495178016579
14,13,13,3,2.223806455111863e-29
14,13,13,4,5.726898553475032e-11
14,13,13,5,0.08028493774730802
14,13,13,6,0.08028493774730802
14,13,13,7,1.2521475128415449e-29
14,13,13,8,0.08028493774730802
14,13,13,9,4.0623501289241186e-14
14,13,13,10,0.08028493774730802
14,13,13,11,8.432434856989437e-27
14,13,13,12,0.08028493774730802
14,13,13,13,0.08028493774730802
14,13,14,1,5.501939618489787e-26
14,13,14,2,4.049985176390958e-26
14,13,14,3,6.972095996448702e-37
14,13,14,4,2.4616441822981612e-15
14,13,14,5,1.6874721454665832e-33
14,13,14,6,1.6874721454665832e-33
14,13,14,7,8.503828714985344e-30
14,13,14,8,1.6874721454665832e-33
14,13,14,9,3.801633562705023e-9
14,13,14,10,1.6874721454665832e-33
14,13,14,11,2.576337799208254e-28
14,13,14,12,1.6874721454665832e-33
14,13,14,13,1.6874721454665832e-33
9,7,1,1,0.09916525049496407
9,7,1,2,0.09916525049496407
9,7,1,3,0.09916525049496407
9,7,1,4,5.602196623430892e-12
9,7,1,5,0.09916525049496407
9,7,1,6,4.700545061838965e-18
9,7,1,7,0.09916525049496407
9,7,2,1,0.09916506355675003
9,7,2,2,0.09916506355675003
9,7,2,3,0.09916506355675003
9,7,2,4,5.602190326925826e-12
9,7,2,5,0.09916506355675003
9,7,2,6,4.700539266084977e-18
9,7,2,7,0.09916506355675003
9,7,3,1,0.09916525049496407
9,7,3,2,0.09916525049496407
9,7,3,3,0.09916525049496407
9,7,3,4,5.602196623430892e-12
9,7,3,5,0.09916525049496407
9,7,3,6,4.700545061838965e-18
9,7,3,7,0.09916525049496407
9,7,4,1,0.09916525049496407
9,7,4,2,0.09916525049496407
9,7,4,3,0.09916525049496407
9,7,4,4,5.602196623430892e-12
9,7,4,5,0.09916525049496407
9,7,4,6,4.700545061838965e-18
9,7,4,7,0.09916525049496407
9,7,5,1,5.071599324514094e-19
9,7,5,2,5.071599324514094e-19
9,7,5,3,5.071599324514094e-19
9,7,5,4,0.582540292989723
9,7,5,5,5.071599324514094e-19
9,7,5,6,8.16472291283896e-21
9,7,5,7,5.071599324514094e-19
9,7,6,1,0.09916525049496407
9,7,6,2,0.09916525049496407
9,7,6,3,0.09916525049496407
9,7,6,4,5.602196623430892e-12
9,7,6,5,0.09916525049496407
9,7,6,6,4.700545061838965e-18
9,7,6,7,0.09916525049496407
9,7,7,1,9.206276921137692e-20
9,7,7,2,9.206276921137692e-20
9,7,7,3,9.206276921137692e-20
9,7,7,4,2.9339713886385897e-10
9,7,7,5,9.206276921137692e-20
9,7,7,6,0.6007073226629431
9,7,7,7,9.206276921137692e-20
9,7,8,1,0.09916525049496407
9,7,8,2,0.09916525049496407
9,7,8,3,0.09916525049496407
9,7,8,4,5.602196623430892e-12
9,7,8,5,0.09916525049496407
9,7,8,6,4.700545061838965e-18
9,7,8,7,0.09916525049496407
9,7,9,1,1.4180615785137228e-24
9,7,9,2,1.4180615785137228e-24
9,7,9,3,1.4180615785137228e-24
9,7,9,4,3.577282782845236e-15
9,7,9,5,1.4180615785137228e-24
9,7,9,6,8.70613084950563e-18
9,7,9,7,1.4180615785137228e-24
12,7,1,1,2.2687229952428163e-22
12,7,1,2,2.2687229952428163e-22
12,7,1,3,2.2687229952428163e-22
12,7,1,4,2.2687229952428163e-22
12,7,1,5,2.2021371865152995e-22
12,7,1,6,1.381107640708062e-22
