fert,rel_dist,prob
-16,-16,2.9014494852702886e-5
2,2,0.13485547185913427
-11,-11,0.0004591648953373878
-1,-1,0.04713743575357647
16,16,4.960298148247621e-5
-7,-7,0.009751833665076983
-17,-17,1.8507174620342265e-5
11,11,0.008080861077013857
-15,-15,1.5668942531846035e-5
0,0,0.06501609578082997
7,7,0.017561081740644077
9,9,0.015103388575884133
-4,-4,0.030649779395590014
-3,-3,0.04836959242662923
10,10,0.005203778453744932
17,17,4.2438167703392774e-5
-9,-9,0.0044536570235173
8,8,0.01747491146924623
6,6,0.03724494800768935
4,4,0.07670135826927671
-6,-6,0.015358463931816382
-8,-8,0.0071787721667276845
-10,-10,0.0048346910998539865
3,3,0.11631910940601148
-13,-13,0.00010719755698933207
5,5,0.05883085971206138
13,13,0.00021584730025178423
14,14,0.00012136687272576338
-2,-2,0.052215494552990786
-12,-12,0.00013871939137191942
-5,-5,0.02459742175028501
-14,-14,6.575505714028486e-5
15,15,4.899339504044138e-5
12,12,0.000554413514920193
1,1,0.18932846093645517
0,0,0.0828028121302637
4,4,0.011866819710003963
2,2,0.18594475093294605
3,3,0.09264530594344433
5,5,0.00026893319968943795
6,6,6.310389112722475e-5
1,1,0.6165203096677883
-6,-6,0.03270397675361241
4,4,0.02209614935636119
-8,-8,0.0021767981865696683
2,2,0.23102899434875088
-11,-11,0.00011329865032378277
-1,-1,0.00993388948747801
-10,-10,0.0018125157171846003
-7,-7,0.0018717038371452634
3,3,0.13498662924731664
-13,-13,1.2827295243665873e-5
5,5,0.01603546163803554
0,0,0.00679615012178496
7,7,0.0005947441075009546
-4,-4,0.009571606443516177
-3,-3,0.016670901903478367
-2,-2,0.003945081981758956
-12,-12,6.171805891738228e-5
-9,-9,0.001400402649906997
-5,-5,0.0077674337835241655
6,6,0.001793369336008774
1,1,0.48473201581318254
4,4,0.018271850607144403
-6,-6,0.03756892607261365
-8,-8,0.00859212650898245
2,2,0.2769089685801391
-11,-11,0.0005187516356818454
-1,-1,0.008666527075922721
-10,-10,0.008667807486743017
-7,-7,0.008413028944233607
3,3,0.14910612768828324
-13,-13,3.22322368157513e-5
5,5,0.008573030471360574
0,0,0.023537026243758447
-4,-4,0.0014468375379316399
-3,-3,0.003766739554361
-12,-12,0.0004567283467338924
-2,-2,0.0004892540253893978
-9,-9,0.0018568810066281528
-5,-5,0.0010419648447887364
1,1,0.42246001513547826
0,0,0.08503160233372914
4,4,0.030418504547903097
2,2,0.19133680846651704
3,3,0.12105888867516569
