fre_len,eng_len,f_ind,e_ind,prob
8,9,1,1,0.3597801992869167
8,9,1,2,4.7545648229079646e-7
8,9,1,3,2.8244689230930736e-28
8,9,1,4,0.052252891570620734
8,9,1,5,2.683271877399138e-5
8,9,1,6,1.636018419870866e-5
8,9,1,7,3.6899554695952134e-25
8,9,1,8,7.794052010743276e-8
8,9,1,9,0.49999999999999994
8,9,2,1,0.0516250533501212
8,9,2,2,0.003606300422879502
8,9,2,3,0.41035884170221787
8,9,2,4,0.07728624578497696
8,9,2,5,3.5106261887598405e-5
8,9,2,6,6.508671795785817e-5
8,9,2,7,1.1207495228765985e-25
8,9,2,8,6.209782863180134e-7
8,9,2,9,6.419739382573662e-22
8,9,3,1,1.8367257530229616e-5
8,9,3,2,9.116655993099716e-7
8,9,3,3,4.449664511082354e-32
8,9,3,4,0.026085414180536434
8,9,3,5,7.110050414276584e-6
8,9,3,6,0.009199360745037258
8,9,3,7,1.1246659384461214e-29
8,9,3,8,0.7024030289571161
8,9,3,9,8.52438480033176e-27
8,9,4,1,2.643723821632591e-11
8,9,4,2,0.4953809491927503
8,9,4,3,4.510088054558144e-32
8,9,4,4,0.005879779617350834
8,9,4,5,0.6299041747921024
8,9,4,6,0.0002574412236473637
8,9,4,7,1.1711557440086439e-29
8,9,4,8,1.7895894737108002e-6
8,9,4,9,4.1779662985436766e-27
8,9,5,1,0.04046586609255921
8,9,5,2,1.3864852899892945e-6
8,9,5,3,5.910704837890261e-28
8,9,5,4,0.2247154611966437
8,9,5,5,6.019941789340511e-5
8,9,5,6,0.000443774018662745
8,9,5,7,0.5844832863973903
8,9,5,8,1.8677141764913677e-6
8,9,5,9,4.854067626483567e-22
8,9,6,1,5.733802880561032e-6
8,9,6,2,0.001009399928458208
8,9,6,3,6.220160153574385e-35
8,9,6,4,8.930775702962883e-6
8,9,6,5,1.0457186365029324e-8
8,9,6,6,0.6515761860994244
8,9,6,7,1.3623861601750384e-32
8,9,6,8,1.6711646084557507e-5
8,9,6,9,6.91056681433803e-30
8,9,7,1,0.04739509148469644
8,9,7,2,5.768485404567849e-7
8,9,7,3,0.2639826548676607
8,9,7,4,0.1137712768741684
8,9,7,5,3.86815222164957e-5
8,9,7,6,0.00010739701448892439
8,9,7,7,2.4991945497431076e-25
8,9,7,8,0.00016595579663545988
8,9,7,9,2.796908262307761e-21
8,9,8,1,0.0007096886988585735
8,9,8,2,2.6026603927481704e-17
8,9,8,3,1.7117434619128115e-52
8,9,8,4,3.734525437902037e-26
8,9,8,5,1.0373568024934931e-22
8,9,8,6,9.624784744367537e-9
8,9,8,7,3.4820808726023688e-46
8,9,8,8,4.791130357524037e-9
8,9,8,9,2.8890176535770187e-50
11,8,1,1,0.4999999999999754
11,8,1,2,0.4999999999999754
11,8,1,3,6.0030923480603075e-9
11,8,1,4,6.8455524873619045e-15
11,8,1,5,2.2377816852810966e-14
11,8,1,6,9.679903854534358e-8
11,8,1,7,2.1902234128570004e-17
11,8,1,8,1.9377105723210234e-17
11,8,2,1,9.277706118771746e-26
11,8,2,2,9.277706118771746e-26
11,8,2,3,2.271677276578176e-17
11,8,2,4,0.0004398754409323323
11,8,2,5,1.4946122427271404e-30
11,8,2,6,8.271343301325973e-9
11,8,2,7,1.4627574713508183e-33
11,8,2,8,1.2941148379382724e-33
11,8,3,1,3.772026634007222e-32
11,8,3,2,3.772026634007222e-32
11,8,3,3,2.2461421387846304e-13
11,8,3,4,0.0716642607657091
11,8,3,5,6.0766283334558195e-37
11,8,3,6,0.0001310309864651511
11,8,3,7,5.947116744585001e-40
11,8,3,8,5.261468269932285e-40
11,8,4,1,0.4999999999999754
11,8,4,2,0.4999999999999754
11,8,4,3,6.0030923480603075e-9
11,8,4,4,6.8455524873619045e-15
11,8,4,5,2.2377816852810966e-14
11,8,4,6,9.679903854534358e-8
11,8,4,7,2.1902234128570004e-17
11,8,4,8,1.9377105723210234e-17
11,8,5,1,3.3011456539906985e-21
11,8,5,2,3.3011456539906985e-21
11,8,5,3,0.9999999879934114
11,8,5,4,2.6891688517730335e-7
11,8,5,5,2.3363096922196546e-16
11,8,5,6,6.2943204708161924e-6
11,8,5,7,5.204708370325423e-29
11,8,5,8,4.6046528293987154e-29
11,8,6,1,3.832379651933388e-36
11,8,6,2,3.832379651933388e-36
11,8,6,3,1.555434442374129e-24
11,8,6,4,0.8626328966028343
11,8,6,5,6.173855340135188e-41
11,8,6,6,2.1187312099964754e-8
11,8,6,7,6.042271545524007e-44
11,8,6,8,5.345652587707476e-44
11,8,7,1,1.6268063419818557e-14
11,8,7,2,1.6268063419818557e-14
11,8,7,3,5.96709092076648e-14
11,8,7,4,8.02588069372455e-20
11,8,7,5,0.9999999995586901
11,8,7,6,0.0001813399089111874
11,8,7,7,1.7226327143748486e-9
11,8,7,8,1.5899994638831785e-13
11,8,8,1,3.1982992915768434e-35
11,8,8,2,3.1982992915768434e-35
11,8,8,3,7.831142429383884e-27
11,8,8,4,0.00032177492760469037
11,8,8,5,3.656943366896271e-32
11,8,8,6,0.9993155889901258
11,8,8,7,3.389793395770548e-35
11,8,8,8,2.9989810456826374e-35
11,8,9,1,1.626806341930961e-14
11,8,9,2,1.626806341930961e-14
11,8,9,3,5.967090920760714e-14
11,8,9,4,8.02588069372455e-20
11,8,9,5,2.4735305765245575e-10
11,8,9,6,0.0001813365023665267
11,8,9,7,7.674894481706657e-14
11,8,9,8,0.9999999999997307
11,8,10,1,1.6268063419729782e-14
11,8,10,2,1.6268063419729782e-14
11,8,10,3,5.967090920765506e-14
11,8,10,4,8.02588069372455e-20
11,8,10,5,1.9391137895661795e-10
11,8,10,6,0.00018134007691812638
11,8,10,7,0.9999999982772907
11,8,10,8,1.1014971041358757e-13
11,8,11,1,3.883252559321064e-46
11,8,11,2,3.883252559321064e-46
11,8,11,3,1.0573414205887335e-19
11,8,11,4,0.06494092334602074
11,8,11,5,2.890347384490395e-37
11,8,11,6,2.8461580098704487e-6
11,8,11,7,4.1157573696630865e-46
11,8,11,8,3.641247975658061e-46
10,11,1,1,7.73548853267009e-41
10,11,1,2,9.28681024213763e-10
10,11,1,3,7.919038371863107e-35
10,11,1,4,2.899351359936521e-36
10,11,1,5,3.91631959745455e-15
10,11,1,6,6.938569487068983e-41
10,11,1,7,0.027262390450720306
10,11,1,8,6.403769956429682e-45
