fre_len,eng_len,f_ind,e_ind,prob
8,9,1,1,5.36213408944947e-5
8,9,1,2,2.8321345881857332e-6
8,9,1,3,2.856021872076863e-6
8,9,1,4,3.0652847352481145e-6
8,9,1,5,2.7935346050953794e-6
8,9,1,6,3.022657027208982e-6
8,9,1,7,2.467323293352829e-6
8,9,1,8,2.7565215978920554e-6
8,9,1,9,2.7707088131127468e-5
8,9,2,1,2.7550191232087774e-6
8,9,2,2,4.468080421252641e-5
8,9,2,3,4.4528002416308017e-5
8,9,2,4,3.100594013890578e-6
8,9,2,5,2.781224535637143e-6
8,9,2,6,6.66261097797402e-6
8,9,2,7,2.551216921254483e-6
8,9,2,8,3.35306671095961e-6
8,9,2,9,3.053679579123254e-6
8,9,3,1,6.9323101594908215e-6
8,9,3,2,7.121684019085393e-6
8,9,3,3,7.225978809148176e-6
8,9,3,4,7.629699631787423e-6
8,9,3,5,6.632805088251999e-6
8,9,3,6,7.334468599632702e-6
8,9,3,7,6.6505859191957465e-6
8,9,3,8,0.00010651174642545694
8,9,3,9,7.645988812147356e-6
8,9,4,1,7.44923698306122e-6
8,9,4,2,7.631453369910228e-6
8,9,4,3,7.740383066832422e-6
8,9,4,4,8.177319172940998e-6
8,9,4,5,0.0001119163064759668
8,9,4,6,8.347140642728771e-6
8,9,4,7,7.181883306861084e-6
8,9,4,8,6.881510358854897e-6
8,9,4,9,8.205242621973809e-6
8,9,5,1,3.4828977230990203e-6
8,9,5,2,3.638780455684961e-6
8,9,5,3,3.694266645911532e-6
8,9,5,4,3.0069762150630695e-5
8,9,5,5,3.3625360617446117e-6
8,9,5,6,4.327068543413131e-6
8,9,5,7,5.977433062993682e-5
8,9,5,8,3.2343483051241076e-6
8,9,5,9,3.003473463506745e-5
8,9,6,1,4.845572735006395e-6
8,9,6,2,5.087599904415635e-6
8,9,6,3,5.15054758814674e-6
8,9,6,4,5.5063466943657805e-6
8,9,6,5,4.9060853956036135e-6
8,9,6,6,8.607310381279683e-5
8,9,6,7,4.587561810556806e-6
8,9,6,8,7.217383588838859e-6
8,9,6,9,5.317151267419224e-6
8,9,7,1,2.218286579358828e-6
8,9,7,2,2.276229883867469e-6
8,9,7,3,2.289325500511849e-6
8,9,7,4,2.0783606439588417e-5
8,9,7,5,2.066606793326862e-5
8,9,7,6,8.566204491228525e-6
8,9,7,7,1.8937696585579965e-6
8,9,7,8,1.886973455763563e-5
8,9,7,9,2.4400155662955165e-6
8,9,8,1,1.2726937446844775e-5
8,9,8,2,1.2217811230997486e-5
8,9,8,3,1.2353033965659687e-5
8,9,8,4,1.3187667697619856e-5
8,9,8,5,1.1901069305791409e-5
8,9,8,6,1.3478602175119209e-5
8,9,8,7,1.1680980293112313e-5
8,9,8,8,1.1896197924104307e-5
8,9,8,9,1.4062448282909915e-5
11,8,1,1,8.612129177085795e-5
11,8,1,2,8.611542802093968e-5
11,8,1,3,6.1214581493642575e-6
11,8,1,4,5.335352717856958e-6
11,8,1,5,4.985264430206818e-6
11,8,1,6,5.164813214908362e-6
11,8,1,7,5.056830896174497e-6
11,8,1,8,5.112957974439914e-6
11,8,2,1,2.2892897342141372e-5
11,8,2,2,2.2893093990606438e-5
11,8,2,3,2.259129239240978e-5
11,8,2,4,2.2357543833343494e-5
11,8,2,5,2.0942929044636974e-5
11,8,2,6,2.1847348264838015e-5
11,8,2,7,2.1472923160498658e-5
11,8,2,8,2.1816723427377718e-5
11,8,3,1,6.564581886552226e-6
11,8,3,2,6.564641325452069e-6
11,8,3,3,6.25331790839037e-6
11,8,3,4,0.00014426837194618706
11,8,3,5,5.861029050697191e-6
11,8,3,6,6.092677716446956e-6
11,8,3,7,5.967462868556247e-6
11,8,3,8,6.044666137880726e-6
11,8,4,1,2.349796316169866e-5
11,8,4,2,2.3498166265731354e-5
11,8,4,3,2.3195741740357358e-5
11,8,4,4,2.291713222384232e-5
11,8,4,5,2.1491975750325026e-5
11,8,4,6,2.2420651049226736e-5
11,8,4,7,2.2042342288654645e-5
11,8,4,8,2.239900142290335e-5
11,8,5,1,6.850535921556186e-6
11,8,5,2,6.850598587516441e-6
11,8,5,3,0.00015029788927457458
11,8,5,4,6.5356511912499235e-6
11,8,5,5,6.0983241469665805e-6
