fert,max_vac,last_cept,rel_dist,prob
7,2,0,2,0.9854064602125091
7,2,0,1,0.014593539787490964
7,2,4,2,0.4783868717126819
7,2,4,1,0.5216131282873181
7,2,2,2,0.5586753384164627
7,2,2,1,0.4413246615835374
7,2,3,2,0.5212993474767339
7,2,3,1,0.47870065252326616
7,2,5,1,1.0
7,2,6,1,1.0
7,2,1,2,0.9853733307819104
7,2,1,1,0.01462666921808965
7,11,2,2,0.319161770450307
7,11,2,3,0.29914625418353774
7,11,2,1,0.38169197536615523
7,11,11,2,0.44653712649472227
7,11,11,1,0.5534628735052777
7,11,7,4,0.2682389862375369
7,11,7,2,0.21608468274503123
7,11,7,3,0.2682389862375369
7,11,7,1,0.247437344779895
7,11,0,2,0.3769833261748514
7,11,0,3,0.3035970952441303
7,11,0,1,0.3194195785810184
7,11,9,2,0.4546844001133605
7,11,9,1,0.5453155998866396
7,11,10,2,0.469632242465643
7,11,10,1,0.530367757534357
7,11,8,4,0.13404131119847637
7,11,8,2,0.10838298948559262
7,11,8,3,0.13404131119847637
7,11,8,5,0.23334227105946578
7,11,8,6,0.23334227105946578
7,11,8,1,0.15684984599852297
7,11,6,4,0.22985541355893116
7,11,6,2,0.2480813199580174
7,11,6,3,0.2518750501089848
7,11,6,1,0.27018821637406654
7,11,4,4,0.22119184659798202
7,11,4,2,0.25212805705818786
7,11,4,3,0.2643738889140862
7,11,4,1,0.2623062074297438
7,11,3,4,0.2238605066431475
7,11,3,2,0.24076133274746198
7,11,3,3,0.26809808329575924
7,11,3,1,0.26728007731363124
7,11,5,4,0.23467474364953345
7,11,5,2,0.26150163801959453
7,11,5,3,0.2422897748347347
7,11,5,1,0.2615338434961374
7,11,1,2,0.3523869582244164
7,11,1,3,0.2963154763483443
7,11,1,1,0.3512975654272393
7,7,7,2,0.3386714319489769
7,7,7,3,0.38223662071594455
7,7,7,1,0.27909194733507847
7,7,0,4,0.3260399245397082
7,7,0,2,0.3260399245397082
7,7,0,3,0.3422022402105919
7,7,0,1,0.005717910709991813
7,7,4,4,0.2682035808816159
7,7,4,2,0.2603609010938951
7,7,4,3,0.26151036657353705
7,7,4,1,0.20992515145095203
7,7,2,4,0.2417211039395398
7,7,2,2,0.24971704809119005
7,7,2,3,0.25881404574362976
7,7,2,1,0.24974780222564044
7,7,3,4,0.19642785419251582
7,7,3,2,0.20259137683328418
7,7,3,3,0.2033367100977534
7,7,3,5,0.19618099629238028
7,7,3,1,0.20146306258406638
7,7,5,4,0.25771352282660526
7,7,5,2,0.25771352282660526
7,7,5,3,0.26634624635601534
7,7,5,1,0.21822670799077412
7,7,8,2,1.0
7,7,6,4,0.22954295401290756
7,7,6,2,0.29118304655983035
7,7,6,3,0.23995776245841952
7,7,6,1,0.23931623696884258
7,7,1,4,0.20195757466962624
7,7,1,2,0.18951588867232652
7,7,1,5,0.21221895513431918
7,7,1,6,0.20195757466962624
7,7,1,1,0.1943500068541017
7,9,7,2,0.31579402660349754
7,9,7,3,0.25386132664903066
7,9,7,1,0.4303446467474718
7,9,4,4,0.15772616118139637
7,9,4,2,0.15178475667444324
7,9,4,3,0.131774872313627
7,9,4,5,0.20556472676295368
7,9,4,6,0.20515831451154237
7,9,4,1,0.14799116855603717
7,9,9,2,0.4997277202664218
7,9,9,3,0.5002722797335781
7,9,0,2,0.33476909573852953
7,9,0,3,0.33079103874127097
7,9,0,1,0.3344398655201996
7,9,2,2,0.47575261036757516
7,9,2,1,0.5242473896324249
7,9,3,4,0.28474058208415753
7,9,3,2,0.21951835414090493
7,9,3,3,0.28474058208415753
7,9,3,1,0.21100048169077987
7,9,5,4,0.34342610368365595
7,9,5,2,0.22938266569478502
7,9,5,3,0.19780856492677396
7,9,5,1,0.22938266569478502
7,9,8,4,0.29764439402360515
7,9,8,2,0.1989190441961773
7,9,8,3,0.29764439402360515
7,9,8,1,0.2057921677566125
7,9,6,4,0.18883537183274682
7,9,6,2,0.15323749656274732
7,9,6,3,0.13124204766855266
7,9,6,5,0.33761207543647853
7,9,6,1,0.18907300849947467
7,10,7,4,0.2229408295616614
7,10,7,2,0.2872097460759434
7,10,7,3,0.2223447908819644
7,10,7,1,0.2675046334804307
7,10,4,2,0.33695105850444007
7,10,4,3,0.30355375693553494
