fre_len,eng_len,f_ind,e_ind,prob
5,4,1,1,0.0018830673259402492
5,4,1,2,0.0005723861030849253
5,4,1,3,0.0001742044666872142
5,4,1,4,0.0016756810565981323
5,4,2,1,0.0006973791426112135
5,4,2,2,0.0028349978213951456
5,4,2,3,0.00031836873957727526
5,4,2,4,0.0006973791426112135
5,4,3,1,0.0011673300673285657
5,4,3,2,0.0014543784439121992
5,4,3,3,0.0005358236385476172
5,4,3,4,0.0011673300673285657
5,4,4,1,0.0013880591770507164
5,4,4,2,0.0013353480683155807
5,4,4,3,0.0004919703421674077
5,4,4,4,0.0013880591770507162
5,4,5,1,0.0003384642188014689
5,4,5,2,0.0004479673481277874
5,4,5,3,0.00305613279709294
5,4,5,4,0.0005873349678283364
9,7,1,1,9.794426506831755e-5
9,7,1,2,4.549851935882709e-6
9,7,1,3,4.628509051797436e-6
9,7,1,4,5.577254770436554e-6
9,7,1,5,5.301785656213515e-6
9,7,1,6,6.1272460009602994e-6
9,7,1,7,5.301785656213515e-6
9,7,2,1,5.041504278876603e-6
9,7,2,2,4.874138956525814e-6
9,7,2,3,4.951735608130038e-6
9,7,2,4,6.8333575096668e-5
9,7,2,5,5.613892580547214e-6
9,7,2,6,6.430236610523013e-6
9,7,2,7,5.613892580547206e-6
9,7,3,1,4.571597455793057e-6
9,7,3,2,9.738629177093965e-5
9,7,3,3,4.482216844439085e-6
9,7,3,4,5.414574495652421e-6
9,7,3,5,5.143859429452066e-6
9,7,3,6,5.955056065042358e-6
9,7,3,7,5.1438594294520675e-6
9,7,4,1,4.573103060919122e-6
9,7,4,2,4.4074837249105346e-6
9,7,4,3,9.624464874608109e-5
9,7,4,4,5.410717157260704e-6
9,7,4,5,5.141728387058957e-6
9,7,4,6,5.9477699776380715e-6
9,7,4,7,5.14172838705896e-6
9,7,5,1,1.6567399537213636e-5
9,7,5,2,1.6036664849712543e-5
9,7,5,3,1.6282795567106297e-5
9,7,5,4,1.9246239638053814e-5
9,7,5,5,1.8353466958831698e-5
9,7,5,6,2.096360767964609e-5
9,7,5,7,1.8353466958831694e-5
9,7,6,1,1.6673642072777885e-5
9,7,6,2,1.6139503918197642e-5
9,7,6,3,1.6387213009520112e-5
9,7,6,4,1.9369655329477994e-5
9,7,6,5,1.847116346658464e-5
9,7,6,6,2.1098041984164247e-5
9,7,6,7,1.847116346658464e-5
9,7,7,1,5.3890265956010415e-6
9,7,7,2,5.213966997847677e-6
9,7,7,3,5.295160404439033e-6
9,7,7,4,3.4296618141822056e-5
9,7,7,5,5.9919562367346686e-6
9,7,7,6,8.229646426667302e-5
9,7,7,7,5.9919562367346745e-6
9,7,8,1,3.641104579737148e-6
9,7,8,2,3.5127970138095273e-6
9,7,8,3,3.572300228149094e-6
9,7,8,4,4.290571569505052e-6
9,7,8,5,5.1958828136940065e-5
9,7,8,6,4.707012454913684e-6
9,7,8,7,5.0886063877472214e-5
9,7,9,1,1.5667440359083495e-5
9,7,9,2,1.5165535757565165e-5
9,7,9,3,1.5398296386452226e-5
9,7,9,4,1.8200757718438935e-5
9,7,9,5,1.735648665404653e-5
9,7,9,6,1.982484168950748e-5
9,7,9,7,2.7098043592922807e-5
10,11,1,1,1.2968033124187121e-5
10,11,1,2,1.2951368188574828e-5
10,11,1,3,1.2968033124187221e-5
10,11,1,4,1.2951368188574966e-5
10,11,1,5,1.2968033124187214e-5
10,11,1,6,8.784253933162138e-7
10,11,1,7,8.784295981828223e-7
10,11,1,8,1.296803312418739e-5
10,11,1,9,1.2856600868978497e-6
10,11,1,10,8.78425674612329e-7
10,11,1,11,1.2866909398741576e-5
10,11,2,1,8.84850642656867e-6
10,11,2,2,8.842667253377943e-6
10,11,2,3,8.848506426568677e-6
10,11,2,4,8.842667253377959e-6
10,11,2,5,8.848506426568677e-6
10,11,2,6,6.065410508680515e-6
10,11,2,7,6.065439222687294e-6
10,11,2,8,8.848506426568672e-6
10,11,2,9,8.846316736622146e-6
10,11,2,10,6.065412429583009e-6
10,11,2,11,8.848506426568672e-6
10,11,3,1,8.946442344707228e-6
10,11,3,2,8.940538543119341e-6
10,11,3,3,8.946442344707233e-6
10,11,3,4,8.940538543119356e-6
10,11,3,5,8.946442344707233e-6
10,11,3,6,6.132542917068812e-6
10,11,3,7,6.132571948884324e-6
10,11,3,8,8.94644234470723e-6
10,11,3,9,8.944228419111768e-6
10,11,3,10,6.132544859231996e-6
10,11,3,11,8.94644234470723e-6
10,11,4,1,1.9086724132843822e-6
10,11,4,2,1.933444596477506e-6
10,11,4,3,1.908672413284381e-6
10,11,4,4,1.9334445964774415e-6
10,11,4,5,1.908672413284382e-6
10,11,4,6,7.469067338652012e-5
10,11,4,7,1.240830399649829e-6
10,11,4,8,1.908672413284379e-6
10,11,4,9,1.9340000265941436e-6
10,11,4,10,1.2408237211226311e-6
10,11,4,11,1.9086724132843746e-6
10,11,5,1,9.148965180026205e-6
10,11,5,2,9.14292773261681e-6
10,11,5,3,9.148965180026212e-6
10,11,5,4,9.142927732616825e-6
10,11,5,5,9.148965180026212e-6
10,11,5,6,6.2713668128059655e-6
10,11,5,7,6.271396501821889e-6
10,11,5,8,9.148965180026207e-6
10,11,5,9,9.14670113724768e-6
10,11,5,10,6.271368798934379e-6
10,11,5,11,9.148965180026207e-6
10,11,6,1,1.8343527362622342e-6
10,11,6,2,1.8581603405782376e-6
10,11,6,3,1.8343527362622321e-6
10,11,6,4,1.8581603405781838e-6
10,11,6,5,1.8343527362622321e-6
10,11,6,6,1.1925082657404817e-6
