fre_len,eng_len,f_ind,e_ind,prob
13,16,1,1,1.953509197756696e-6
13,16,1,2,1.954426300571584e-6
13,16,1,3,1.0171949598071834e-7
13,16,1,4,1.1758768549748057e-7
13,16,1,5,1.954426300571638e-6
13,16,1,6,1.9544263005716282e-6
13,16,1,7,1.0475848968316393e-7
13,16,1,8,1.9544263005716282e-6
13,16,1,9,1.9535091968483974e-6
13,16,1,10,1.953509196848396e-6
13,16,1,11,1.0171825874803407e-7
13,16,1,12,1.954426300571732e-6
13,16,1,13,1.954426300571732e-6
13,16,1,14,1.954426300571732e-6
13,16,1,15,1.953509197756856e-6
13,16,1,16,1.948166336755851e-6
13,16,2,1,1.5333925446319989e-6
13,16,2,2,1.5242353740594894e-6
13,16,2,3,1.1169370210338891e-6
13,16,2,4,1.4812087539558246e-6
13,16,2,5,1.5242353740594885e-6
13,16,2,6,1.5242353740594881e-6
13,16,2,7,1.1501094306355099e-6
13,16,2,8,1.5242353740594896e-6
13,16,2,9,1.5333925537021346e-6
13,16,2,10,1.533392553702134e-6
13,16,2,11,1.1169235168030516e-6
13,16,2,12,1.5242353740594907e-6
13,16,2,13,1.5242353740594909e-6
13,16,2,14,1.5242353740594907e-6
13,16,2,15,1.533392544632002e-6
13,16,2,16,1.5242353740594907e-6
13,16,3,1,1.5559242859191046e-6
13,16,3,2,1.5562779502459484e-6
13,16,3,3,1.1333493385511013e-6
13,16,3,4,1.3094414436209806e-6
13,16,3,5,1.5562779502459484e-6
13,16,3,6,1.5562779502459488e-6
13,16,3,7,1.1670091848738086e-6
13,16,3,8,1.5562779502459484e-6
13,16,3,9,1.5559242855688007e-6
13,16,3,10,1.5559242855688e-6
13,16,3,11,1.1333356358885528e-6
13,16,3,12,1.556277950245947e-6
13,16,3,13,1.5562779502459471e-6
13,16,3,14,1.5562779502459478e-6
13,16,3,15,1.5559242859191033e-6
13,16,3,16,1.556277950245948e-6
13,16,4,1,2.780975210952038e-7
13,16,4,2,2.7634485299938995e-7
13,16,4,3,1.976300274251214e-7
13,16,4,4,2.080248045017708e-5
13,16,4,5,2.7634485299938985e-7
13,16,4,6,2.7634485299938985e-7
13,16,4,7,2.0403791936553287e-7
13,16,4,8,2.7634485299939006e-7
13,16,4,9,2.7809752283121407e-7
13,16,4,10,2.7809752283121396e-7
13,16,4,11,1.976274187469758e-7
13,16,4,12,2.763448529993903e-7
