fre_len,eng_len,f_ind,e_ind,prob
13,10,1,1,1.0264019877259019e-5
13,10,1,2,6.271565499744015e-7
13,10,1,3,6.271565499743995e-7
13,10,1,4,1.0264019877258768e-5
13,10,1,5,1.0264019877258843e-5
13,10,1,6,1.0264019877258843e-5
13,10,1,7,1.0240530271456833e-5
13,10,1,8,1.0264019877258844e-5
13,10,1,9,1.0264019877258844e-5
13,10,1,10,1.0186679930182041e-5
13,10,2,1,1.101025662029412e-6
13,10,2,2,3.965496927552411e-5
13,10,2,3,3.965496927552415e-5
13,10,2,4,1.1010256620294092e-6
13,10,2,5,1.1010256620294092e-6
13,10,2,6,1.101025662029409e-6
13,10,2,7,1.1422827797542074e-6
13,10,2,8,1.1010256620294162e-6
13,10,2,9,1.101025662029418e-6
13,10,2,10,1.101025662029418e-6
13,10,3,1,8.829712556625652e-6
13,10,3,2,5.41141447767067e-6
13,10,3,3,5.4114144776706725e-6
13,10,3,4,8.829712556625647e-6
13,10,3,5,8.829712556625649e-6
13,10,3,6,8.829712556625654e-6
13,10,3,7,9.082612022782504e-6
13,10,3,8,8.829712556625657e-6
13,10,3,9,8.829712556625659e-6
13,10,3,10,8.829712556625659e-6
13,10,4,1,7.804689867846197e-6
13,10,4,2,8.445833206201475e-6
13,10,4,3,8.445833206201482e-6
13,10,4,4,7.804689867846192e-6
13,10,4,5,7.804689867846193e-6
13,10,4,6,7.804689867846197e-6
13,10,4,7,8.028230768916299e-6
13,10,4,8,7.8046898678462e-6
13,10,4,9,7.804689867846202e-6
13,10,4,10,7.804689867846202e-6
13,10,5,1,9.069745101577555e-6
13,10,5,2,5.3976139421920255e-6
13,10,5,3,5.397613942192028e-6
13,10,5,4,9.069745101577572e-6
13,10,5,5,9.069745101577572e-6
13,10,5,6,9.069745101577572e-6
13,10,5,7,9.059448999301854e-6
13,10,5,8,9.069745101577574e-6
13,10,5,9,9.069745101577575e-6
13,10,5,10,9.069745101577575e-6
13,10,6,1,9.158372353283634e-6
13,10,6,2,5.450358058383746e-6
13,10,6,3,5.450358058383749e-6
13,10,6,4,9.158372353283651e-6
13,10,6,5,9.158372353283651e-6
13,10,6,6,9.158372353283651e-6
13,10,6,7,9.147975640104566e-6
13,10,6,8,9.158372353283653e-6
13,10,6,9,9.158372353283655e-6
13,10,6,10,9.158372353283655e-6
13,10,7,1,9.248748783627837e-6
13,10,7,2,5.504143151019543e-6
13,10,7,3,5.504143151019545e-6
13,10,7,4,9.248748783627854e-6
13,10,7,5,9.248748783627854e-6
13,10,7,6,9.248748783627854e-6
13,10,7,7,9.238249473853194e-6
13,10,7,8,9.248748783627855e-6
13,10,7,9,9.248748783627857e-6
13,10,7,10,9.248748783627857e-6
13,10,8,1,9.340926692320918e-6
13,10,8,2,5.559000344860342e-6
13,10,8,3,5.559000344860345e-6
13,10,8,4,9.340926692320936e-6
13,10,8,5,9.340926692320934e-6
13,10,8,6,9.340926692320936e-6
13,10,8,7,9.33032274088713e-6
13,10,8,8,9.340926692320938e-6
13,10,8,9,9.340926692320938e-6
13,10,8,10,9.340926692320938e-6
13,10,9,1,9.43496048504914e-6
13,10,9,2,5.614962017981538e-6
13,10,9,3,5.61496201798154e-6
13,10,9,4,9.43496048504916e-6
13,10,9,5,9.434960485049158e-6
13,10,9,6,9.43496048504916e-6
13,10,9,7,9.424249785130532e-6
13,10,9,8,9.434960485049161e-6
13,10,9,9,9.434960485049161e-6
13,10,9,10,9.434960485049161e-6
13,10,10,1,9.530906780554266e-6
13,10,10,2,5.672061865498759e-6
13,10,10,3,5.672061865498761e-6
13,10,10,4,9.530906780554285e-6
13,10,10,5,9.530906780554283e-6
13,10,10,6,9.530906780554285e-6
13,10,10,7,9.52008716105077e-6
13,10,10,8,9.530906780554285e-6
13,10,10,9,9.530906780554287e-6
13,10,10,10,9.530906780554287e-6
13,10,11,1,9.628824524316248e-6
13,10,11,2,5.730334967223055e-6
13,10,11,3,5.730334967223057e-6
13,10,11,4,9.628824524316266e-6
13,10,11,5,9.628824524316265e-6
13,10,11,6,9.628824524316266e-6
13,10,11,7,9.61789374721206e-6
13,10,11,8,9.628824524316268e-6
13,10,11,9,9.62882452431627e-6
13,10,11,10,9.62882452431627e-6
13,10,12,1,9.728775109313418e-6
13,10,12,2,5.789817859528058e-6
13,10,12,3,5.78981785952806e-6
13,10,12,4,9.728775109313436e-6
13,10,12,5,9.728775109313435e-6
13,10,12,6,9.728775109313436e-6
13,10,12,7,9.717730866898559e-6
13,10,12,8,9.728775109313438e-6
13,10,12,9,9.728775109313438e-6
13,10,12,10,9.728775109313438e-6
13,10,13,1,9.223406176509957e-6
13,10,13,2,5.652695192161184e-6
13,10,13,3,5.652695192161187e-6
13,10,13,4,9.223406176509952e-6
13,10,13,5,9.223406176509954e-6
13,10,13,6,9.223406176509959e-6
13,10,13,7,9.487581763566507e-6
13,10,13,8,9.223406176509962e-6
13,10,13,9,9.223406176509966e-6
13,10,13,10,1.3602005525333562e-5
5,4,1,1,0.0019330649483872814
5,4,1,2,0.0004086228885846545
5,4,1,3,0.00033892339320703153
5,4,1,4,0.001699761996239037
5,4,2,1,0.0005599275545672346
5,4,2,2,0.0031302492287847575
5,4,2,3,0.00034064068268438094
5,4,2,4,0.0005599275545672345
5,4,3,1,0.0012158083067924474
5,4,3,2,0.0012095964636278352
5,4,3,3,0.0008007712632429164
5,4,3,4,0.001215808306792448
5,4,4,1,0.0014724614117494186
5,4,4,2,0.000975904474167354
5,4,4,3,0.000817578146679321
